Symbol,log2FC,p_value,FDR,consistency,significant
LOC651511,0.041409638554216865,0.4902751633911696,0.6000769861280421,0.5421686746987951,False
LOC651513,-0.03756626506024096,0.23250041965927992,0.33060257538047516,0.5301204819277109,False
LOC651515,0.09160240963855419,0.0674565384239007,0.11382200288545691,0.5903614457831325,False
LOC651518,0.07469879518072291,0.10229509622663448,0.16409529276786564,0.5903614457831325,False
LOC651520,0.07066265060240964,0.24056066091517372,0.3401435756826378,0.4819277108433735,False
LOC651524,-0.6408915662650603,1.8536403897308582e-10,8.944729043010817e-10,0.7590361445783133,False
LOC651529,0.04089156626506023,0.4425579511975081,0.554696471324068,0.5903614457831325,False
LOC651536,0.026927710843373504,0.6623027644704859,0.7533301586394152,0.5301204819277109,False
LOC651537,0.031204819277108404,0.43598263922645913,0.5482106732859391,0.5180722891566265,False
LOC651546,0.05375903614457829,0.1459102802113615,0.2237673971012676,0.5421686746987951,False
LOC651552,-0.08089156626506026,0.18291840920191973,0.27105337430666576,0.5783132530120482,False
LOC651553,0.04344578313253012,0.23370637854564688,0.3318959393068098,0.5662650602409639,False
LOC651554,-0.01809638554216864,0.6896613772243022,0.775194867520269,0.5060240963855421,False
LOC651556,0.1654578313253012,0.005835106972946724,0.012181611799750915,0.6506024096385542,False
LOC651558,0.1109156626506024,0.16244071899979948,0.24526630015757012,0.5301204819277109,False
LOC651559,-0.8577108433734939,4.482961785120725e-07,1.5155687417072591e-06,0.8072289156626506,False
LOC651561,0.022903614457831317,0.6646755411056365,0.7552186585854128,0.5301204819277109,False
LOC651562,-0.01737349397590361,0.6735233833441127,0.762339624474256,0.5060240963855421,False
LOC651565,-0.024891566265060235,0.701601094966138,0.7849046550544657,0.5180722891566265,False
LOC651568,-0.07750602409638555,0.059709578136296036,0.10213491999437331,0.6024096385542169,False
LOC651575,-0.2679638554216868,0.007935675535094807,0.01620643699227839,0.6024096385542169,False
LOC651576,1.5243855421686747,4.500100678367247e-17,4.564695424946682e-16,0.8674698795180723,True
LOC651577,-0.01884337349397592,0.642994257288635,0.7378418058935582,0.46987951807228917,False
LOC651578,0.016506024096385533,0.6963099164580056,0.780392276077874,0.5662650602409639,False
LOC651580,0.042301204819277086,0.24270387854194655,0.3424317381236271,0.5421686746987951,False
LOC651581,0.03910843373493975,0.46951425010139064,0.5803625928078995,0.4939759036144578,False
LOC651586,0.005927710843373488,0.8942564853056322,0.9286804501030854,0.4457831325301205,False
LOC651589,0.03681927710843373,0.36929982801716216,0.4804391523782462,0.5060240963855421,False
LOC651597,0.019927710843373473,0.5756985263223708,0.6795865857566291,0.5060240963855421,False
LOC651603,-0.019228915662650597,0.6463112698542902,0.7403194210833355,0.6024096385542169,False
LOC651609,0.05895180722891567,0.10982549225702629,0.17461433415418395,0.5542168674698795,False
LOC651610,0.11548192771084341,0.003358667976288713,0.007256434251956252,0.6265060240963856,False
LOC651611,0.0751686746987952,0.15404299438355723,0.23447937396743232,0.6024096385542169,False
LOC651612,-0.04471084337349399,0.2857766074348665,0.3913315154022502,0.5542168674698795,False
LOC651617,0.07615662650602409,0.0643839134818326,0.10922424373018282,0.5903614457831325,False
LOC651619,-0.031144578313253055,0.6115169824974509,0.710397371329063,0.46987951807228917,False
LOC651621,-0.42738554216867475,4.1307321322204456e-05,0.00011365544607796684,0.7228915662650602,False
LOC651624,-0.052385542168674706,0.2759121101318592,0.380279774718523,0.4939759036144578,False
LOC651630,-0.008614457831325363,0.8816346685866379,0.9194821909262944,0.40963855421686746,False
LOC651633,0.03357831325301201,0.6614610890147468,0.7527430151883318,0.4939759036144578,False
LOC651635,0.005228915662650626,0.9202141282347828,0.947093107140257,0.40963855421686746,False
